tmin	tier	text	tmax
5.278713	phrase	Phrase1_7	6.817712
7.383271	phoneme	sh	7.508830
14.082165	phoneme	ae	14.150217
19.189865	phoneme	s	19.300122
21.743196	phoneme	lu	21.828607
27.708544	phoneme	ae	27.808774
29.706645	phoneme	i	29.762253
41.436749	phrase	Phrase2.1_4	42.425503
43.038741	phrase	Phrase2.2_7	44.125309
43.909964	phoneme	la	44.100290
49.156465	phoneme	i	49.221901
51.992873	phoneme	u	52.093107
58.148146	phoneme	a	58.301121
65.792625	phrase	Phrase3.1_10	67.446311
68.050858	phrase	Phrase3.2_17	70.554700
70.710181	phrase	Phrase3.3_2	71.007316
