tmin	tier	text	tmax
5.553064	phrase	Phrase1_7	6.959788
7.770357	phoneme	sh	7.888433
14.776094	phoneme	ae	14.842077
19.727117	phoneme	s	19.858188
22.547826	phoneme	u	22.668247
29.829998	phoneme	ae	29.940060
31.246407	phoneme	i	31.396202
42.149598	phrase	Phrase2.1_4	43.166181
43.721165	phrase	Phrase2.2_7	45.207185
44.917116	phoneme	la	45.071284
50.874755	phoneme	i	50.916008
54.249486	phoneme	u	54.292039
59.902378	phoneme	a	60.008197
67.555902	phrase	Phrase3.1_4	68.261834
68.539157	phrase	Phrase3.2_22	72.226266
72.474074	phrase	Phrase3.3_2	72.718880
