tmin	tier	text	tmax
12.675684	phrase	Phrase1_6	14.174595
15.124571	phoneme	sh	15.245600
22.166538	phoneme	ae	22.231723
27.491665	phoneme	s	27.591234
30.306624	phoneme	u	30.366306
37.072735	phoneme	ae	37.169696
38.716128	phoneme	i	38.761828
49.691272	phrase	Phrase2.1_4	50.801006
51.105878	phrase	Phrase2.2_4	51.761276
52.063105	phrase	Phrase2.2_3	52.636959
52.441698	phoneme	la	52.602007
58.760802	phoneme	i	58.809203
61.474835	phoneme	u	61.552087
68.372002	phoneme	a	68.492886
76.283292	phrase	Phrase3.1_10	78.042386
78.451848	phrase	Phrase3.2_9	79.687031
80.016410	phrase	Phrase3.3_10	82.353264
