tmin	tier	text	tmax
4.846992	phrase	Phrase1_7	6.555216
7.285874	phoneme	sh	7.413010
15.410877	phoneme	ae	15.534012
22.250105	phoneme	s	22.390413
25.911749	phoneme	lu	26.070816
33.557228	phoneme	ae	33.747151
35.149399	phoneme	i	35.235649
49.781289	phrase	Phrase2_11	52.539631
52.340892	phoneme	a	52.506009
59.507100	phoneme	i	59.581557
63.487176	phoneme	u	63.614318
72.048180	phoneme	a	72.252445
85.556228	phrase	Phrase3.1_10	87.596245
88.098006	phrase	Phrase3.2_9	89.576083
90.082137	phrase	Phrase3.3_9	92.494173
100.985284	phrase	Phrase3.1_10	102.953584
103.485784	phrase	Phrase3.2_9	105.058314
105.641899	phrase	Phrase3.3_9	107.963179
