tmin	tier	text	tmax
5.979499	phrase	Phrase1_7	7.735269
8.420547	phoneme	sh	8.548757
16.043401	phoneme	ae	16.113222
22.606345	phoneme	s	22.705192
25.718788	phoneme	lu	25.859249
34.241328	phoneme	ae	34.409672
36.192648	phoneme	i	36.280419
49.783611	phrase	Phrase2.1_4	51.142961
51.316256	phrase	Phrase2.2_4	52.204916
52.347199	phrase	Phrase2.3_3	52.983449
52.760884	phoneme	la	52.965304
59.885435	phoneme	i	59.951297
64.325879	phoneme	u	64.403997
73.440971	phoneme	a	73.560726
86.032767	phrase	Phrase3.1_4	86.665153
86.876559	phrase	Phrase3.2_15	89.852152
90.277199	phrase	Phrase3.3_6	91.790615
92.283535	phrase	Phrase3.4_2	92.692552
92.854969	phrase	Phrase3.5_2	93.184135
