tmin	tier	text	tmax
5.807537	phrase	Phrase1_7	7.291771
8.155681	phoneme	sh	8.287700
16.340952	phoneme	ae	16.443134
21.037991	phoneme	s	21.145682
24.135427	phoneme	u	24.227612
30.761178	phoneme	ae	30.972966
32.214564	phoneme	i	32.290665
45.811588	phrase	Phrase2.1_4	47.266917
47.852281	phrase	Phrase2.2_7	49.464007
49.296198	phoneme	la	49.460884
55.349200	phoneme	i	55.411285
58.227744	phoneme	u	58.318342
66.509596	phoneme	a	66.659402
76.346497	phrase	Phrase3.1_25	81.367783
81.878522	phrase	Phrase3.2_4	82.934577
