tmin	tier	text	tmax
6.366995	phrase	Phrase1_7	8.096200
8.727130	phoneme	sh	8.923948
16.915330	phoneme	ae	16.993448
23.062700	phoneme	s	23.243726
26.243701	phoneme	lu	26.410502
34.357773	phoneme	ae	34.510392
36.214802	phoneme	i	36.293677
49.465864	phoneme	Phrase2_11	52.343259
52.343259	phoneme	la	52.480542
59.021835	phoneme	i	59.068490
62.787380	phoneme	u	62.924434
70.738103	phoneme	a	70.817333
81.494971	phrase	Phrase3.1_10	83.556979
83.939099	phrase	Phrase3.2_9	85.506580
85.880854	phrase	Phrase3.3_11	88.906075
