tmin	tier	text	tmax
6.738925	phrase	Phrase1_8	8.778027
9.575141	phoneme	sh	9.732012
17.790604	phoneme	ae	17.879454
24.558231	phoneme	s	24.671234
27.628644	phoneme	lu	27.770542
35.961088	phoneme	ae	36.139952
38.398969	phoneme	i	38.491153
50.840872	phrase	Phrase2_11	52.998629
52.783354	phoneme	la	52.971482
59.471811	phoneme	i	59.529168
63.404651	phoneme	u	63.483416
72.823431	phoneme	a	72.908026
83.019484	phrase	Phrase3.1_4	83.797125
84.032663	phrase	Phrase3.2_5	85.128042
85.644706	phrase	Phrase3.3_9	87.062566
87.595438	phrase	Phrase3.4_6	88.836173
89.097962	phrase	Phrase3.5_2	89.510609
89.666606	phrase	Phrase3.6_2	90.030245
