tmin	tier	text	tmax
6.722333	phrase	Phrase1_7	8.165126
8.950096	phoneme	sh	9.000650
14.632361	phoneme	ae	14.700681
21.461734	phoneme	s	21.495699
24.741126	phoneme	lu	24.889944
31.810382	phoneme	ae	32.006704
33.169061	phoneme	ae	33.399726
35.960253	phoneme	i	36.015449
52.395721	phrase	Phrase2_12	54.879236
54.686595	phoneme	la	54.872496
60.482712	phoneme	i	60.545908
68.849813	phoneme	u	69.011726
75.815375	phoneme	a	75.967731
86.567162	phrase	Phrase3.1_4	87.413883
88.180838	phrase	Phrase3.2_2	88.599767
88.895519	phrase	Phrase3.3_5	89.571013
89.726825	phrase	Phrase3.4_22	94.268092
